اسم_الشركة,الموضوع / النشاط,العنوان,الولاية,المعتمدية,المنطقة,النوع,__name_norm__,match_score,trovit_index,has_candidate,trovit_name,trovit_charika_id,trovit_tax_id,trovit_wilaya,trovit_delegation,trovit_capital,trovit_legal_form,trovit_detail_url,matched_strict,matched_maybe
شركة خيرات جبل برقو شركة أهلية محلية,فلاحة/ صيد و الخدمات المتصلة بها,عين بوسعدية,سليانة,برقو,برقو,محلية,شركه خيرات جبل برقو شركه اهليه محليه,100.0,96,True,شركة خيرات جبل برقو شركة أهلية محلية,1876730D,1876730D,سليانة,برقو,10000,شركة أهلية محلية,https://trovit.tn/charika/1876730D,True,False
جنان برقو للتنمية شركة أهلية محلية,حراجة / إستغلال الغابات,حي الزهور,سليانة,برقو,برقو,جهوية,جنان برقو للتنميه شركه اهليه محليه,100.0,98,True,جنان برقو للتنمية شركة أهلية محلية,1864007S,1864007S,سليانة,برقو,10000,شركة أهلية محلية,https://trovit.tn/charika/1864007S,True,False
شركة ريحان لتربية الماشية والزراعات الكبرى شركة أهلية محلية,فلاحة / صيد و الخدمات المتصلة بها,عبد الستار الدريدي,سليانة,سليانة الجنوبية,سليانة الجنوبية,محلية,شركه ريحان لتربيه الماشيه والزراعات الكبري شركه اهليه محليه,100.0,122,True,شركة ريحان لتربية الماشية والزراعات الكبرى شركة أهلية محلية,1828566R,1828566R,سليانة,سليانة الجنوبية,10000,شركة أهلية محلية,https://trovit.tn/charika/1828566R,True,False
الشركة الأهلية المحلية السلام,فلاحة / صيد و الخدمات المتصلة بها,نهج اليمن,سليانة,بوعرادة,بوعرادة,محلية,الشركه السلام,100.0,62,True,الشركة الأهلية المحلية السلام,1882403D,1882403D,سليانة,بو عرادة,10000,شركة أهلية محلية,https://trovit.tn/charika/1882403D,True,False
الشركة الاهلية المحلية للإنتاج الجبلي بعين بوسعدية برقو,فلاحة / صيد و الخدمات المتصلة بها,عين بوسعدية,سليانة,برقو,برقو,محلية,الشركه للانتاج الجبلي بعين بوسعديه برقو,100.0,88,True,الشركة الاهلية المحلية للإنتاج الجبلي بعين بوسعدية برقو,1866943K,1866943K,سليانة,برقو,10000,شركة أهلية محلية,https://trovit.tn/charika/1866943K,True,False
الشركة الاهلية المحلية المصير للخدمات و الانتاج ببرقو,فلاحة / صيد و الخدمات المتصلة بها,نهج عبد النور اليحياوي,سليانة,برقو,برقو,محلية,الشركه المصير للخدمات و الانتاج ببرقو,100.0,32,True,الشركة الاهلية المحلية المصير للخدمات و الانتاج ببرقو,1847104V,1847104V,سليانة,برقو,10000,شركة أهلية محلية,https://trovit.tn/charika/1847104V,True,False
الشركة الاهلية المحلية قصر البارود,فلاحة/ صيد و الخدمات المتصلة بها,شارع الطيب المتنبي,سيدي بوزيد,جلمة,جملة الشرقية,جهوية,الشركه قصر البارود,100.0,48,True,الشركة الاهلية المحلية قصر البارود,1902998H,1902998H,سيدي بوزيد,جلمة,10000,شركة أهلية محلية,https://trovit.tn/charika/1902998H,True,False
الشركة الأهلية المحلية للخدمات الفلاحية النوائل,فلاحة/ صيد و الخدمات المتصلة بها,النوائل الجديدة,سيدي بوزيد,بئر الحفي,بئر الحفي,جهوية,الشركه للخدمات الفلاحيه النوايل,100.0,137,True,الشركة الأهلية المحلية للخدمات الفلاحية النوائل,1806830T,1806830T,سيدي بوزيد,بير  الحفي,44000,شركة أهلية محلية,https://trovit.tn/charika/1806830T,True,False
الشركة الاهلية الجهوية جوهرة الرقاب للفلاحة,فلاحة/ صيد و الخدمات المتصلة بها,طريق المزونة كلم 3,سيدي بوزيد,الرقاب,الرقاب,محلية,الشركه جوهره الرقاب للفلاحه,100.0,17,True,الشركة الاهلية الجهوية جوهرة الرقاب للفلاحة,1827909Q,1827909Q,سيدي بوزيد,الرقاب,20000,شركة أهلية جهوية,https://trovit.tn/charika/1827909Q,True,False
الشركة الأهلية الجهوية عين رباو,فلاحة/ صيد و الخدمات المتصلة بها,الحوامد عين رباو,سيدي بوزيد,سيدي بوزيد الغربية,سيدي بوزيد الغربية,محلية,الشركه عين رباو,100.0,19,True,الشركة الأهلية الجهوية عين رباو,1819965C,1819965C,سيدي بوزيد,سيدي بوزيد الغربية,42390,شركة أهلية جهوية,https://trovit.tn/charika/1819965C,True,False
شركة الاهلية تقمودا للنقل بسيدي بوزيد شركة أهلية جهوية,النقل البرّي,حي الخضراء,سيدي بوزيد,سيدي بوزيد الغربية,سيدي بوزيد الغربية,جهوية,شركه تقمودا للنقل بسيدي بوزيد شركه اهليه جهويه,100.0,9,True,شركة الاهلية تقمودا للنقل بسيدي بوزيد شركة أهلية جهوية,1847613M,1847613M,سيدي بوزيد,سيدي بوزيد الغربية,20000,شركة أهلية جهوية,https://trovit.tn/charika/1847613M,True,False
المالوسي لصناعة الآجر شركة أهلية محلية,صنع القرميد و الآجر من الطين المشوي (الفخار),منزل بوزيان,سيدي بوزيد,منزل بوزيان,منزل بوزيان,محلية,المالوسي لصناعه الاجر شركه اهليه محليه,100.0,121,True,المالوسي لصناعة الآجر شركة أهلية محلية,1830277F,1830277F,سيدي بوزيد,منزل بوزيان,10000,شركة أهلية محلية,https://trovit.tn/charika/1830277F,True,False
الشركة الأهلية المحلية قصر عبود,تربية الدواجن,الخشم الشرقية السعيدة,سيدي بوزيد,الرقاب,الرقاب,محلية,الشركه قصر عبود,100.0,72,True,الشركة الأهلية المحلية قصر عبود,1884184W,1884184W,سيدي بوزيد,الرقاب,10000,شركة أهلية محلية,https://trovit.tn/charika/1884184W,True,False
الشركة الاهلية المحلية صقور بأولاد حفوز,زراعة,أولاد حفوز,سيدي بوزيد,أولاد حفوز,أولاد حفوز,محلية,الشركه صقور باولاد حفوز,100.0,31,True,الشركة الاهلية المحلية صقور بأولاد حفوز,1920812H,1920812H,سيدي بوزيد,أولاد حفوز,10000,شركة أهلية محلية,https://trovit.tn/charika/1920812H,True,False
الشركة الاهلية المحلية الأريج,زراعة,الحمامة,سيدي بوزيد,جلمة,جملة الشرقية,جهوية,الشركه الاريج,100.0,23,True,الشركة الاهلية المحلية الأريج,1924807D,1924807D,سيدي بوزيد,جلمة,10000,شركة أهلية محلية,https://trovit.tn/charika/1924807D,True,False
الشركة الأهلية المحلية الصمود,فلاحة / صيد و الخدمات المتصلة بها,الطويلة,سيدي بوزيد,سيدي بوزيد الغربية,سيدي بوزيد الغربية,محلية,الشركه الصمود,100.0,52,True,الشركة الأهلية المحلية الصمود,1889813Z,1889813Z,سيدي بوزيد,سيدي بوزيد الغربية,10000,شركة أهلية محلية,https://trovit.tn/charika/1889813Z,True,False
