اسم_الشركة,الموضوع / النشاط,العنوان,الولاية,المعتمدية,المنطقة,النوع,__name_norm__,match_score,trovit_index,has_candidate,trovit_name,trovit_charika_id,trovit_tax_id,trovit_wilaya,trovit_delegation,trovit_capital,trovit_legal_form,trovit_detail_url,matched_strict,matched_maybe
الشركة الأهلية الجهوية السلامة لخدمات سيارات الأجرة تاكسي جماعي بتونس الكبرى,خدمات ملحقة بالنقل,18 نهج لشب بن رهيلة الزهروني,تونس,الحرائرية,الحرايرية,جهوية,الشركه السلامه لخدمات سيارات الاجره تاكسي جماعي بتونس الكبري,53.84615384615385,44,True,الشركة الاهلية المحلية الفلاحية الازدهار بالدوارة أم العرائس,1905085L,1905085L,قفصة,أم العرائس,10000,شركة أهلية محلية,https://trovit.tn/charika/1905085L,False,False
الشركة الأهلية الجهوية صدربعل في حالة تصفية,خدمات ملحقة بالنقل,محطة لواج باب عليوة,تونس,باب البحر,باب البحر,جهوية,الشركه صدربعل في حاله تصفيه,58.82352941176471,22,True,الشركة الأهلية المحلية الفلاحية المستقبل,1902179D,1902179D,بنزرت,سجنان,10000,شركة أهلية محلية,https://trovit.tn/charika/1902179D,False,False
الشركة الأهلية الجهوية الفوز لخدمات سيارات الأجرة لواج بمحطة باب سعدون تونس,النقل المنتظم للمسافرين,50 شارع الحبيب بوقطفة الطابق 2,تونس,باردو,باردو,جهوية,الشركه الفوز لخدمات سيارات الاجره لواج بمحطه باب سعدون تونس,56.25,32,True,الشركة الاهلية المحلية المصير للخدمات و الانتاج ببرقو,1847104V,1847104V,سليانة,برقو,10000,شركة أهلية محلية,https://trovit.tn/charika/1847104V,False,False
الايمان للأعلاف شركة أهلية محلية,صناعة/ صنع أغذية الحيوانات,حي النصر,جندوبة,جندوبة,جندوبة الجنوبية,محلية,الايمان للاعلاف شركه اهليه محليه,75.36231884057972,76,True,شركة الإرادة للفلاحة شركة أهلية محلية,1863054W,1863054W,صفاقس,العامرة,10000,شركة أهلية محلية,https://trovit.tn/charika/1863054W,False,False
الشركة الأهلية المحلية قمرة الشمال,إستخراج الأحجار,راس الراجل,جندوبة,طبرقة,طبرقة,محلية,الشركه قمره الشمال,78.78787878787878,46,True,الشركة الأهلية المحلية العمارنة,1922864E,1922864E,توزر,توزر,10000,شركة أهلية محلية,https://trovit.tn/charika/1922864E,False,False
مناحل طبرقة شركة أهلية محلية,تربية حيوانات أخرى,راس الراجل عين الصبح,جندوبة,طبرقة,طبرقة,محلية,مناحل طبرقه شركه اهليه محليه,75.47169811320755,123,True,فخمة وان شركة أهلية محلية,1827499T,1827499T,تونس,القيروان الجنوبية,257000,شركة أهلية محلية,https://trovit.tn/charika/1827499T,False,False
الشركة الاهلية المحلية توبربو ماجوس,أنشطة ترفيهية,نهج محمد علي,زغوان,الفحص,الفحص,محلية,الشركه توبربو ماجوس,70.58823529411764,60,True,الشركة الأهليه المحلية بير ماطر,1874307H,1874307H,تونس,ماطر,10600,شركة أهلية محلية,https://trovit.tn/charika/1874307H,False,False
الشركة الأهلية الجهوية رتاج للمنتوجات الغابية و الفلاحية,حراجة / إستغلال الغابات,بنت سعيدان,زغوان,الفحص,الفحص,محلية,الشركه رتاج للمنتوجات الغابيه و الفلاحيه,66.66666666666667,71,True,الشركة الأهلية المحلية الفلاحية القصبات الفحص,1888257N,1888257N,زغوان,الفحص,10000,شركة أهلية محلية,https://trovit.tn/charika/1888257N,False,False
الزيتونة الباهرة شركة أهلية جهوية,تربية الحيوانات,الحناينية,زغوان,الناظور,الناظور,محلية,الزيتونه الباهره شركه اهليه جهويه,69.56521739130434,2,True,الظريف لخدمات النقل شركة أهلية جهوية,1879535Q,1879535Q,المنستير,المنستير,22800,شركة أهلية جهوية,https://trovit.tn/charika/1879535Q,False,False
الشركة الأهلية المحلية الخير و البركة بالمقرن,زراعة الحبوب,الحي الجديد المقرن زغوان,زغوان,زغوان,زغوان المدينة,جهوية,الشركه الخير و البركه بالمقرن,72.0,136,True,شركة اهلية نور البركة,1812023G,1812023G,مدنين,جرجيس,10000,شركة أهلية محلية,https://trovit.tn/charika/1812023G,False,False
الشركة الأهلية المحلية صابة,فلاحة / صيد و الخدمات المتصلة بها,وادي الزيت,زغوان,زغوان,زغوان المدينة,محلية,الشركه صابه,72.0,58,True,الشركة الأهلية المحلية المصباح,1897688K,1897688K,سيدي بوزيد,سيدي بوزيد الغربية,10000,شركة أهلية محلية,https://trovit.tn/charika/1897688K,False,False
التاج الفلاحي شركة الاهلية المحلية,فلاحة/ زراعة الحبوب,دار الجمعيات,سليانة,الكريب,الكريب الجنوبية,محلية,التاج الفلاحي شركه,70.96774193548387,23,True,الشركة الاهلية المحلية الأريج,1924807D,1924807D,سيدي بوزيد,جلمة,10000,شركة أهلية محلية,https://trovit.tn/charika/1924807D,False,False
الشركة الأهلية المحلية الخير و البركة بأميرة الجبال كسرى,فلاحة / صيد و الخدمات المتصلة بها,مجمع التنمية نهج بوعبدالله,سليانة,كسرى,كسرى,محلية,الشركه الخير و البركه باميره الجبال كسري,60.273972602739725,25,True,الشركة الاهلية المحلية للتربية و التعليم الأغالبة,1924481B,1924481B,القيروان,القيروان الجنوبية,10000,شركة أهلية محلية,https://trovit.tn/charika/1924481B,False,False
الشركة الأهلية المحلية منزل المحطة للفلاحة,فلاحة/ صيد و الخدمات المتصلة بها,منزل المحطة,سوسة,سيدي بوعلي,سيدي بوعلي,محلية,الشركه منزل المحطه للفلاحه,72.34042553191489,89,True,الشركة الأهلية المحلية بنمسلم للفلاحة,1867785T,1867785T,باجة,قبلاط,10000,شركة أهلية محلية,https://trovit.tn/charika/1867785T,False,False
الشركة الأهلية الجهوية أصالة للخدمات السريعة,خدمات ملحقة بالنقل,المثاليث عين الرحمة,سوسة,بوفيشة,بوفيشة,جهوية,الشركه اصاله للخدمات السريعه,70.37037037037037,70,True,الشركة الاهلية المحلية لخدمات الصيد البحري,1872655S,1872655S,صفاقس,العامرة,14200,شركة أهلية محلية,https://trovit.tn/charika/1872655S,False,False
الشركة الأهلية الجهوية أبو جعفر الأربصي لخدمات النقل بولاية سوسة,خدمات ملحقة بالنقل,ساحة الجلاء سوسة سهلول,سوسة,سوسة المدينة,محمد معروف,محلية,الشركه ابو جعفر الاربصي لخدمات النقل بولايه سوسه,59.74025974025974,132,True,الشركة الاهلية المحلية بسيسب للخدمات الفلاحية,1816740Y,1816740Y,تونس,السبيخة,10000,شركة أهلية محلية,https://trovit.tn/charika/1816740Y,False,False
