اسم_الشركة,الموضوع / النشاط,العنوان,الولاية,المعتمدية,المنطقة,النوع
الشركة الأهلية المحلية للتنمية المستدامة المطوية,زراعة,شارع الحبيب بورقيبة,قابس,المطوية,المطويةالشمالية,محلية
الشركة الأهلية المحلية قرين أقرو,فلاحة / صيد و الخدمات المتصلة بها,نهج الخليج,قابس,الحامة,المنطقة الشمالية,جهوية
الشركة الأهلية المحلية رائدات بدوز,صناعات نسيج أخرى,المنطقة السياحية,قبلي,دوز الشمالية,دوز الشرقية,جهوية
الشركة الأهلية المحلية الخوار,تربية الحيوانات,عدد 1 الفوار,قبلي,الفوار,الصابرية الغربية,جهوية
الشركة الاهلية المحلية الصنم بالعذارى,تربية الحيوانات,زعفران,قبلي,دوز الشمالية,دوز الشرقية,محلية
الشركة الأهلية المحلية مراعي الرجيم,تربية الحيوانات,رجيم معتوق,قبلي,الفوار,الصابرية الغربية,محلية
الشركة الاهلية المحلية جمنة عراجين الكرمة,زراعة,13 نهج بغداد جمنة,قبلي,قبلي الجنوبية,قبلي الجنوبية,محلية
الشركة الأهلية المحلية وفاق غريب,فلاحة / صيد و الخدمات المتصلة بها,قرية السلام رجيم معتوق,قبلي,الفوار,الصابرية الغربية,محلية
النور و السلام للخدمات الفلاحية شركة أهلية جهوية,فلاحة / صيد و الخدمات المتصلة بها,شارع أحمد خيرالدين النزلة,قبلي,قبلي الشمالية,قبلي الشمالية,جهوية
خيرات نفزاوة شركة أهلية جهوية,فلاحة / صيد و الخدمات المتصلة بها,حي الوكالة العقارية للسكنى بياز,قبلي,قبلي الشمالية,قبلي الشمالية,جهوية
الشركة الأهلية المحلية دوز الأولى,فلاحة / صيد و الخدمات المتصلة بها,حي أولاد عبد النور دوز الجنوبية,قبلي,دوز الشمالية,دوز الشرقية,جهوية
شركة الأنطلاق للطاقة المتجددة والأنشطة الفلاحية شركة أهلية محلية,فلاحة / صيد و الخدمات المتصلة بها,عدد 90 نهج تركيا قبلي,قبلي,قبلي الجنوبية,قبلي الجنوبية,محلية
الشركة الأهلية الجهوية ثمار الوطن,فلاحة/ صيد و الخدمات المتصلة بها,10 نهج بسطيا حي السرور,قفصة,قفصة الجنوبية,قفصة المدينة,محلية
الشركة الأهلية المحلية صنعة أجدادي,صناعة النسيج,بالخير 2180,قفصة,بلخير,بلخير,محلية
الشركة الاهلية المحلية للانشطة الفلاحية سيدي بوبكر,صناعة/ صنع أغذية الحيوانات,سيدي بوبكر,قفصة,أم العرائس,أم العرائس المركز,محلية
الشركة الاهلية المحلية لاستغلال المقاطع بماجورة,إستخراج الأحجار,حي ماجورة,قفصة,السند,السند,جهوية
الشركة الأهلية المحلية كابصا النظيفة لرسكلة و تثمين النفايات,رفع الفضلات و معالجتها,حي السرور,قفصة,قفصة الجنوبية,قفصة المدينة,محلية
الشركة الأهلية الجهوية الوعد للخدمات بقفصة,خدمات ملحقة بالنقل,عمران المقدمي,قفصة,قفصة الجنوبية,قفصة المدينة,جهوية
الشركة الأهلية الجهوية لتنمية السياحية و الرياضية,أنشطة ترفيهية و ثقافية و رياضية,1الراقوبة,قفصة,القصر,القصر,جهوية
الشركة الأهلية الجهوية لسيارات الأجرة لواج قفصة,النقل الحضري و النقل عبر الطريق,حي بياش,قفصة,قفصة الجنوبية,قفصة المدينة,جهوية
شركة أم المناجم للنقل بأم العرائس شركة أهلية محلية,النقل البرّي,حي النور,قفصة,أم العرائس,أم العرائس المركز,محلية
الشركة الاهلية المحلية لنقش و نحت الحجارة و صقل الرخام,تشكيل الحجر و إعداده للإستعمال,العبابسة,قفصة,سيدي عيش,سيدي عيش الشرقية,جهوية
الشركة الاهلية الجهوية لصناعة الطابوق الخلوي,صنع الأسمنت و الجير و الجبس (أو الجص),شارع 4 ديسمبر 1952,قفصة,القصر,القصر,محلية
الشركة الاهلية المحلية الفلاحية الازدهار بالدوارة أم العرائس,تربية الحيوانات,حي السوالمية,قفصة,أم العرائس,أم العرائس المركز,محلية
الشركة الاهلية المحلية الفلاحية الخيرات بالسند,تربية الحيوانات,حي الرياض أبو القاسم الشابي,قفصة,السند,السند,محلية
الشركة الاهلية الجهوية أقري عرباطة,فلاحة / صيد و الخدمات المتصلة بها,نهج عمر بن سليمان,قفصة,قفصة الجنوبية,قفصة المدينة,جهوية
الشركة الأهلية المحلية التفوق للفلاحة النموذجية,فلاحة / صيد و الخدمات المتصلة بها,حي النصر 1,قفصة,السند,السند,محلية
الشركة الأهلية المحلية للفلاحة و الخدمات بالبهلولة زانوش,فلاحة / صيد و الخدمات المتصلة بها,عدد 1 البهلولة,قفصة,السند,السند,محلية
الشركة الأهلية المحلية خابية الطلح بلخير,فلاحة / صيد و الخدمات المتصلة بها,بالخير,قفصة,بلخير,بلخير,محلية
الشركة الأهلية المحلية للزراعة و التخزين سيدي صالح,فلاحة / صيد و الخدمات المتصلة بها,العليم سيدي صالح,قفصة,السند,السند,محلية
الشركة الاهلية المحلية أم الاقصاب,فلاحة / صيد و الخدمات المتصلة بها,أم الاقصاب سيدي بوبكر,قفصة,أم العرائس,أم العرائس المركز,محلية
شركة اهلية نور البركة,صناعة / مخابز و مخابز مقترنة بصنع المرطبات,حسي الجربي,مدنين,جرجيس,جرجيس,محلية
الشركة الأهلية المحلية الارادة للبستنة و تصرف في النفايات غير خطيرة,التطهير وتنظيف الطرقات و التصرف في الفضلات,محضنة المؤسسات جربة للابداع,مدنين,جربة ميدون,ميدون,محلية
شركة اس سي دي ام(شركة أهلية محلية),أنشطة ترفيهية,شارع النخيل,مدنين,مدنين الجنوبية,مدنين الجنوبية,محلية
شركة زيان للنقل والخدمات بجرجيس(شركة أهلية محلية),أنواع أخرى من النقل الطريقي,نهج 20 مارس,مدنين,جرجيس,جرجيس,محلية
الشركة الأهلية المحلية للصيد البحري سيدي مخلوف,تجارة الأسماك و القشريات و الرخويات بالتفصيل,القصبة,مدنين,سيدي مخلوف,سيدي مخلوف,جهوية
الشركة الأهلية المحلية للخياطة و التطريز بمدنين نيوفاشن,صناعة الملابس و صناعة الفراء (الفورير),نهج النخيل حي الخراشفة,مدنين,مدنين الشمالية,مدنين الشمالية,محلية
الشركة الاهلية المحلية الأمل للنسيج بسيدي مخلوف,صناعة الملابس و صناعة الفراء (الفورير),الراقوبة الشرقية,مدنين,سيدي مخلوف,سيدي مخلوف,محلية
الشركة الاهلية المحلية الفلاحية التحدي لتربية الماشية,تربية الضأن و الماعز,تبرقيت القصبة سيدي مخلوف,مدنين,سيدي مخلوف,سيدي مخلوف,محلية
الشركة الأهلية المحلية الفلاحية تيسير بالراقوبة الشرقية,تربية الحيوانات,الراقوبة,مدنين,سيدي مخلوف,سيدي مخلوف,محلية
الشركة الاهلية المحلية للانتاج الفلاحي برمادة,زراعة الزياتين,طريق الذهيبات,مدنين,سيدي مخلوف,سيدي مخلوف,جهوية
الشركة الأهلية المحلية للتنمية الفلاحية بجرجيس نيوزار,فلاحة / صيد و الخدمات المتصلة بها,عمارة الحافي شارع 20 مارس,مدنين,جرجيس,جرجيس,محلية
الشركة الأهلية المحلية الكادحات بمنوبة,أنشطة الخدمات الملحقة بالفلاحة بإستثناء الأنشطة البيطرية,حي الرجاء,منوبة,طبربة,طبربة,محلية
الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق,زراعة مقترنة بتربية الحيوانات,محضنة المؤسسات,منوبة,منوبة,منوبة,محلية
الشركة الأهلية المحلية لتنمية الفلاحية للمساعدين,زراعة,المساعدين,منوبة,برج العامري,برج العامري,محلية
الشركة الأهلية المحلية إزدهار برج النور,زراعة,يرج النور المساعدين,منوبة,برج العامري,برج العامري,جهوية
الشركة الجهوية الأهلية منوبة البية,زراعة,محضنة المؤسسات,منوبة,منوبة,منوبة,محلية
الشركة الأهلية الجهوية ار سام,فلاحة/ صيد,طريق منزل بوزلفة كم1,نابل,سليمان,سليمان,محلية
الشركة الأهلية الجهوية فاطمة الزهراء لخدمات النقل بنابل,خدمات ملحقة بالنقل,محطة التاكسي الجماعي شارع الجمهورية,نابل,سليمان,سليمان,جهوية
الشركة الأهلية المحلية للسياحة و البيئة و الترفيه تاكلسة,أنشطة ترفيهية و ثقافية و رياضية,المرصد البحري بالبكاكشة,نابل,تاكلسة,تاكلسة الجوفية,جهوية
الشركة الأهلية الجهوية للسياحة و الترفيه زمبرة الجامور,أنشطة ترفيهية و ثقافية و رياضية,الكرمانية,نابل,الهوارية,الهوارية القبلية,محلية
الشركة الأهلية الجهوية إكو تاكي للفلاحة,تربية الحيوانات,الرمل,نابل,تاكلسة,تاكلسة الجوفية,محلية
الشركة الأهلية المحلية السعادة,زراعة,دار الجندي,نابل,تاكلسة,تاكلسة الجوفية,محلية
الشركة الأهلية المحلية خير البلاد,فلاحة / صيد و الخدمات المتصلة بها,نوال,نابل,قرنبالية,قرنبالية الشرقية,محلية
الشركة الأهلية المحلية المشارق,فلاحة / صيد و الخدمات المتصلة بها,قصر سعد,نابل,قربة,قربة الشرقية,محلية
الشركة الأهلية المحلية للتصرّف في أراضي مجموعة بني خيار,فلاحة / صيد و الخدمات المتصلة بها,شارع الحبيب بورقيبة,نابل,بني خيار,بني خيار,محلية
الشركة الأهلية الجهوية للفلاحة الإمتياز,فلاحة / صيد و الخدمات المتصلة بها,شارع السلام,نابل,قرنبالية,قرنبالية الشرقية,محلية
