اسم_الشركة,الموضوع / النشاط,العنوان,الولاية,المعتمدية,المنطقة,النوع
الشركة الأهلية الجهوية زيتونة قمودة,فلاحة / صيد و الخدمات المتصلة بها,الفائض سيدي بوزيد,سيدي بوزيد,سيدي بوزيد الشرقية,الأحواز,جهوية
الشركة الأهلية المحلية الريادة الفلاحية,فلاحة / صيد و الخدمات المتصلة بها,الخروبة المالوسي,سيدي بوزيد,منزل بوزيان,منزل بوزيان,محلية
الشركة الأهلية المحلية الوحدة رحال,فلاحة / صيد و الخدمات المتصلة بها,رحال,سيدي بوزيد,بئر الحفي,بئر الحفي,محلية
شركة أهلية محلية فسقية الرضاع,صناعة تحويل الفواكه و الخضر,الرضاع الشرقية,سيدي بوزيد,الرقاب,الرقاب,محلية
الشركة الأهلية المحلية للخدمات الفلاحية الزعافرية,فلاحة / صيد و الخدمات المتصلة بها,نهج ساقية سيدي يوسف,سيدي بوزيد,سيدي بوزيد الغربية,سيدي بوزيد الغربية,محلية
الضيعة 18 (شركة أهلية محلية),فلاحة / صيد و الخدمات المتصلة بها,شارع اتحاد المغرب العربي,سيدي بوزيد,سيدي بوزيد الشرقية,الأحواز,محلية
الشركة الأهلية المحلية جبل الكبار,فلاحة / صيد و الخدمات المتصلة بها,شارع البريد,سيدي بوزيد,سيدي بوزيد الغربية,سيدي بوزيد الغربية,جهوية
الشركة الأهلية المحلية الملك للرمال,إستخراج الرمال و الصلصال (الطفل),الذويبات الجنوبية كلم 80,سيدي بوزيد,أولاد حفوز,أولاد حفوز,محلية
الشركة الأهلية المحلية المصباح,فلاحة / صيد و الخدمات المتصلة بها,الطويلة طريق قفصة,سيدي بوزيد,سيدي بوزيد الغربية,سيدي بوزيد الغربية,جهوية
الشركة الأهلية المحلية المصباح,فلاحة / صيد و الخدمات المتصلة بها,الطويلة طريق قفصة,سيدي بوزيد,سيدي بوزيد الغربية,سيدي بوزيد الغربية,محلية
الشركة الأهلية المحلية شمس البادية,فلاحة/ صيد و الخدمات المتصلة بها,شارع الحبيب بورقيبة,صفاقس,الحنشة,الحنشة,محلية
الشركة الاهلية المحلية لخدمات الصيد البحري,صناعة/ صناعات غذائية أخرى,بليانة,صفاقس,العامرة,بليانة,محلية
الشركة الأهلية المحلية صناعة الأعلاف الساقية,صناعة/ صنع أغذية الحيوانات,طريق المهدية نهج الرشاد كلم 13,صفاقس,ساقية الداير,ساقية الداير,محلية
الشركة الأهلية المحلية فلوكتنا صفاقس,التطهير وتنظيف الطرقات و التصرف في الفضلات,ميناء الصيد البحري,صفاقس,صفاقس المدينة,المدينة,جهوية
الشركة الأهلية الجهوية حنبعل لخدمات سيارات الأجرة لواج بصفاقس,خدمات ملحقة بالنقل,20 شارع الرباط,صفاقس,صفاقس المدينة,المدينة,جهوية
الشركة الأهلية الجهوية صفاقس العزة,أنشطة المساندة للإدارة,شارع بغداد عمارة عبد المولى كلم 1,صفاقس,صفاقس المدينة,المدينة,محلية
الشركة الأهلية المحلية العين بصفاقس الجنوبية,التطهير وتنظيف الطرقات و التصرف في الفضلات,طريق منزل شاكر كلم 11 2059,صفاقس,صفاقس الجنوبية,العين,محلية
الشركة الاهلية المحلية العامرة للطاقات المتجددة,إنتاج و توزيع الكهرباء و الغاز و الحرارة,شارع 7 نوفمبر,صفاقس,العامرة,العامرة,محلية
الشركة الاهلية المحلية المهذبي للطاقة,إنتاج و توزيع الكهرباء و الغاز و الحرارة,الطريق الوطنية 2 سيدي محمد نويقز,صفاقس,الصخيرة,الصخيرة,محلية
الشركة الأهلية المحلية للخدمات العامة بقرقنة,أنشطة التنظيف,أولاد عزالدين,صفاقس,قرقنة,العطايا,محلية
الشركة الأهلية المحلية النور سيدي امحمد الصخيرة,إنتاج و توزيع الكهرباء و الغاز و الحرارة,سيدي امحمد نويقز,صفاقس,الصخيرة,الصخيرة,محلية
الشركة الاهلية المحلية النصر,إسترداد المواد المستعملة غير المعدنية القابلة للرسكلة,الهادي شاكر,صفاقس,جبنيانة,جبنيانة,محلية
الشركة الأهلية المحلية الهناء,أنشطة خدمات ملحقة بالزراعة,شارع الهادي شاكر,صفاقس,جبنيانة,جبنيانة,محلية
افاق بليانة شركة أهلية محلية,تربية الحيوانات,بليانة,صفاقس,العامرة,العامرة,محلية
شركة الإرادة للفلاحة شركة أهلية محلية,زراعة,العامرة,صفاقس,العامرة,العامرة,محلية
الشركة الأهلية المحلية النموذجية النويقص,فلاحة / صيد و الخدمات المتصلة بها,سيدي محمد نويقص,صفاقس,الصخيرة,الصخيرة,محلية
الشركة الأهلية المحلية الوفاق,فلاحة / صيد و الخدمات المتصلة بها,ذراع بن زياد,صفاقس,العامرة,العامرة,محلية
الشركة الأهلية المحلية عقارب الجديدة,فلاحة / صيد و الخدمات المتصلة بها,العرائش,صفاقس,عقارب,عقارب,محلية
شركة الأنصاف الأهلية المحلية,فلاحة/ صيد و الخدمات المتصلة بها,الهيشة,قابس,المطوية,المطويةالشمالية,جهوية
الشركة الأهلية الجهوية القدس لسيارات الأجرة لواج,النقل البرّي,محطة اللواج,قابس,قابس المدينة,المنطقة الأولى,محلية
