اسم_الشركة,الموضوع / النشاط,العنوان,الولاية,المعتمدية,المنطقة,النوع,__name_norm__,match_score,trovit_index,has_candidate,trovit_name,trovit_charika_id,trovit_tax_id,trovit_wilaya,trovit_delegation,trovit_capital,trovit_legal_form,trovit_detail_url,matched_strict,matched_maybe
الشركة الأهلية الجهوية بركة الكاف,زراعة,حي علي بن خليفة,الكاف,الجريصة,الجريصة المركزية,جهوية,الشركه بركه الكاف,76.47058823529412,91,True,الشركة الأهلية المحلية جبل الكبار,1874386Z,1874386Z,سيدي بوزيد,سيدي بوزيد الغربية,10000,شركة أهلية محلية,https://trovit.tn/charika/1874386Z,False,False
الشركة الأهلية المحلية بيوفالي بسيدي أحمد الصالح,فلاحة / صيد و الخدمات المتصلة بها,سيدي أحمد صالح,الكاف,القلعة الخصباء,القلعة الخصباء,محلية,الشركه بيوفالي بسيدي احمد الصالح,100.0,99,True,الشركة الأهلية المحلية بيوفالي بسيدي أحمد الصالح,1862601X,1862601X,الكاف,القلعة الخصبة,10000,شركة أهلية محلية,https://trovit.tn/charika/1862601X,True,False
الشركة الأهلية المحلية لزيتون اللاس,فلاحة / صيد و الخدمات المتصلة بها,اللاس,الكاف,السرس,السرس الشمالية,محلية,الشركه لزيتون اللاس,100.0,67,True,الشركة الأهلية المحلية لزيتون اللاس,1886679Z,1886679Z,الكاف,السرس,10600,شركة أهلية محلية,https://trovit.tn/charika/1886679Z,True,False
الشركة الأهلية المحلية للخدمات الفلاحية بالدهماني و القصور,فلاحة / صيد و الخدمات المتصلة بها,شارع الجمهورية,الكاف,القصور,القصور,محلية,الشركه للخدمات الفلاحيه بالدهماني و القصور,79.45205479452055,137,True,الشركة الأهلية المحلية للخدمات الفلاحية النوائل,1806830T,1806830T,سيدي بوزيد,بير  الحفي,44000,شركة أهلية محلية,https://trovit.tn/charika/1806830T,False,False
الظريف لخدمات النقل شركة أهلية جهوية,خدمات ملحقة بالنقل,الحي التاسع عدد 126,المنستير,المنستير,المدينة,جهوية,الظريف لخدمات النقل شركه اهليه جهويه,100.0,2,True,الظريف لخدمات النقل شركة أهلية جهوية,1879535Q,1879535Q,المنستير,المنستير,22800,شركة أهلية جهوية,https://trovit.tn/charika/1879535Q,True,False
شركة خدمات النقل غير المنتظم التفاني شركة أهلية جهوية,خدمات ملحقة بالنقل,المحطة,المنستير,جمال,جمال الشرقية,محلية,شركه خدمات النقل غير المنتظم التفاني شركه اهليه جهويه,100.0,4,True,شركة خدمات النقل غير المنتظم التفاني شركة أهلية جهوية,1885983A,1885983A,المنستير,جمال,24000,شركة أهلية جهوية,https://trovit.tn/charika/1885983A,True,False
الشركة الاهلية المحلية للنقل الزهد,أنواع نقل طريقي أخرى للمسافرين,نهج الفاضلين,المنستير,طبلبة,حومة السوق,محلية,الشركه للنقل الزهد,100.0,28,True,الشركة الاهلية المحلية للنقل الزهد,1921945A,1921945A,المنستير,طبلبة,12500,شركة أهلية محلية,https://trovit.tn/charika/1921945A,True,False
الشركة الأهلية المحلية لتنمية الصناعات التقليدية بالساحلين,تجارة مصنوعات تقليدية متنوعة بالتفصيل,شارع فرحات حشاد المندرة,المنستير,الساحلين,الساحلين الشرقية,محلية,الشركه لتنميه الصناعات التقليديه بالساحلين,100.0,55,True,الشركة الأهلية المحلية لتنمية الصناعات التقليدية بالساحلين,1889159R,1889159R,المنستير,الساحلين,10000,شركة أهلية محلية,https://trovit.tn/charika/1889159R,True,False
الشركة الأهلية المحلية الشملالي,زراعة مقترنة بتربية الحيوانات,نهج الشهداء المزاوغة,المنستير,زرمدين,زرمدين الشمالية,محلية,الشركه الشملالي,76.47058823529412,67,True,الشركة الأهلية المحلية لزيتون اللاس,1886679Z,1886679Z,الكاف,السرس,10600,شركة أهلية محلية,https://trovit.tn/charika/1886679Z,False,False
شركة الاقتصاد الدائري للكربون شركة أهلية جهوية,التطهير وتنظيف الطرقات و التصرف في الفضلات,8 نهج محمد المستيري,المنستير,طبلبة,حومة السوق,جهوية,شركه الاقتصاد الدايري للكربون شركه اهليه جهويه,100.0,6,True,شركة الاقتصاد الدائري للكربون شركة أهلية جهوية,1862833M,1862833M,تونس,طبلبة,21600,شركة أهلية جهوية,https://trovit.tn/charika/1862833M,True,False
المبادرة لخدمات النقل العمومي غير المنتظم شركة أهلية جهوية,خدمات ملحقة بالنقل,شارع 13 أوت,المهدية,قصور الساف,قصور الساف الرياض,جهوية,المبادره لخدمات النقل العمومي غير المنتظم شركه اهليه جهويه,70.2127659574468,2,True,الظريف لخدمات النقل شركة أهلية جهوية,1879535Q,1879535Q,المنستير,المنستير,22800,شركة أهلية جهوية,https://trovit.tn/charika/1879535Q,False,False
الشركة الاهلية المحلية برج خديجة للتنمية الثقافية و السياحية,أنشطة ترفيهية و ثقافية و رياضية,نهج المغرب,المهدية,الشابة,الشابة الشمالية,محلية,الشركه برج خديجه للتنميه الثقافيه و السياحيه,100.0,94,True,الشركة الاهلية المحلية برج خديجة للتنمية الثقافية و السياحية,1820630X,1820630X,المهدية,الشابة,106000,شركة أهلية محلية,https://trovit.tn/charika/1820630X,True,False
شركة ألكا محيط لرسكلة النفايات شركة اهلية محلية,إسترداد المواد المستعملة,بني ثابت,المهدية,الجم,المرابطين,جهوية,شركه الكا محيط لرسكله النفايات شركه اهليه محليه,100.0,37,True,شركة ألكا محيط لرسكلة النفايات شركة اهلية محلية,1911256A,1911256A,المهدية,الجم,10000,شركة أهلية محلية,https://trovit.tn/charika/1911256A,True,False
